Submission id,Participant id,Status,Custom study tncs accepted at,Started at,Completed at,Reviewed at,Archived at,Time taken,Completion code,Total approvals,Vision,Age,Sex,Ethnicity simplified,Country of birth,Country of residence,Nationality,Language,Student status,Employment status
662b5c111333ff6edbff466d,61721801de15feaf7ae0e40a,RETURNED,Not Applicable,2024-04-26T07:47:40.609000Z,,,2024-05-06T11:14:00.521302Z,,,247,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED
662b5c54fce6a3e9264239e6,6112824dc733659aff681b33,RETURNED,Not Applicable,2024-04-26T07:48:46.445000Z,,,2024-05-06T11:14:00.521016Z,,,27,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED
662b5c6c47e2e94fd278a5a8,5c33052cd4f77a0001a8ce56,RETURNED,Not Applicable,2024-04-26T07:49:00.272000Z,,,2024-05-06T11:14:00.538073Z,,,441,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED
662b5c8048f84b68f678b9e1,6074798099d59512a511c6a9,TIMED-OUT,Not Applicable,2024-04-26T07:49:20.671000Z,,,2024-05-06T11:14:00.541249Z,876280.0,,59,Yes,29,Female,White,Poland,Poland,Poland,Polish,No,Full-Time
662b5c82ae0cfa6ff3c53d7f,61536c3d95117554003b58a2,RETURNED,Not Applicable,2024-04-26T07:49:31.009000Z,,,2024-05-06T11:14:00.548662Z,,,121,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED
662b5c844f255560619215aa,6139acf931310af464a08585,RETURNED,Not Applicable,2024-04-26T07:59:24.772000Z,,,2024-05-06T11:14:00.550641Z,,,102,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED
662b5c8b45ba0dcf49701124,60d857cd8f592c07e8862cf7,RETURNED,Not Applicable,2024-04-26T07:49:31.886000Z,,,2024-05-06T11:14:00.551472Z,,,412,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED
662b5c8de394d3bb9d38f49a,61657b7fc08306b12b722115,APPROVED,Not Applicable,2024-04-26T07:49:42.422000Z,2024-04-26T08:30:45.486000Z,2024-04-29T20:54:41.384000Z,2024-04-26T08:30:46.120719Z,2464.0,CW8BWO89,292,Yes,24,Male,Black,South Africa,South Africa,South Africa,English,DATA_EXPIRED,DATA_EXPIRED
662b5c9d2cdf40cc8eb97b3d,5fa4faf94527261b54915c03,RETURNED,Not Applicable,2024-04-26T07:50:01.293000Z,,,2024-05-06T11:14:00.562201Z,,,330,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED
662b5ca61ca7dab1b515ccc1,5f913cbf314c3d000982e130,RETURNED,Not Applicable,2024-04-26T07:50:15.794000Z,,,2024-05-06T11:14:00.565232Z,,,250,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED
662b5cacd42b6f642b92aaf9,5f9a03999179210fe9ae3c69,RETURNED,Not Applicable,2024-04-26T08:00:04.347000Z,,,2024-05-06T11:14:00.578654Z,,,224,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED
662b5cba20f84729db42140b,6004290f2fe8805383395886,APPROVED,Not Applicable,2024-04-26T07:50:18.560000Z,2024-04-26T08:25:19.973000Z,2024-04-29T20:54:41.709000Z,2024-04-26T08:27:05.128992Z,2102.0,CW8BWO89,293,Yes,28,Female,White,Slovenia,Slovenia,Slovenia,Slovenian,Yes,Part-Time
662b5ccb1c7a141823cdde8e,5c3f8bdf342ae0000111a3e1,APPROVED,Not Applicable,2024-04-26T07:50:35.891000Z,2024-04-26T08:12:03.020000Z,2024-04-29T20:54:41.991000Z,2024-04-26T08:12:03.592176Z,1288.0,CW8BWO89,291,Yes,26,Female,White,Hungary,Finland,Hungary,Hungarian,Yes,Part-Time
662b5ccf337e3eee4dd71195,6165ee51589a30c811a48217,APPROVED,Not Applicable,2024-04-26T07:51:08.983000Z,2024-04-26T08:18:43.738000Z,2024-04-29T20:54:42.166000Z,2024-04-26T09:18:46.837932Z,1655.0,CW8BWO89,204,Yes,30,Female,White,Greece,Greece,Greece,Greek,DATA_EXPIRED,DATA_EXPIRED
662b5cd1d009476b7adb398f,65ae8520028238caca8c4082,APPROVED,Not Applicable,2024-04-26T07:50:41.891000Z,2024-04-26T08:03:16.651000Z,2024-04-29T20:54:42.343000Z,2024-04-26T08:05:27.023540Z,755.0,CW8BWO89,30,Yes,33,Male,White,Iran,Hungary,Iran,Farsi,No,Unemployed (and job seeking)
662b5cf551515fae1a3f9e51,615c12b7b396c74155dc2185,APPROVED,Not Applicable,2024-04-26T07:51:55.768000Z,2024-04-26T08:16:56.701000Z,2024-04-29T20:54:42.531000Z,2024-04-26T08:17:16.937102Z,1501.0,CW8BWO89,473,Yes,33,Male,Black,South Africa,South Africa,South Africa,English,No,Full-Time
662b5cfce394d3bb9d38f4b8,6145bf61521b5cddd6e4ebc3,RETURNED,Not Applicable,2024-04-26T07:51:33.065000Z,,,2024-05-06T11:14:00.586956Z,,,140,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED
